file,config,particle,D_m,Lw_cm,Epw_cm,material,H,config_dir,tally_14_value,tally_14_error,tally_1014_total_value,tally_1014_total_error,dose_Dp10_calc,dose_Dp10_calc_error,dose_Hstar10_calc,dose_Hstar10_calc_error,dose_E_calc,dose_E_calc_error,diff_Dp10_pct
SR_Pu_UN_G1_C1_N_D200.0m_Lw_10000.0cm_Epw1.0cm_w_steel.o,C1,N,200.0,10000.0,1.0,steel,0,C1_H_0,4.89353e-09,0.0668,3.97057e-10,0.0298,4.660228202936626e-09,0.06711749686512493,5.47148920101588e-08,0.06489461796078894,4.076379414672272e-08,0.07641882691005751,-4.767556284795919
SR_Pu_UN_G1_C1_N_D300.0m_Lw_15000.0cm_Epw1.0cm_w_steel.o,C1,N,300.0,15000.0,1.0,steel,0,C1_H_0,1.55944e-09,0.0637,1.44167e-10,0.0265,1.4899471829250567e-09,0.06305942904838459,1.712382716005061e-08,0.05994530309203299,1.2561529601057738e-08,0.07739243135487522,-4.456267446964502
SR_Pu_UN_G1_C1_N_D500.0m_Lw_25000.0cm_Epw1.0cm_w_steel.o,C1,N,500.0,25000.0,1.0,steel,0,C1_H_0,2.55729e-10,0.1276,2.48909e-11,0.0307,2.4398377795627463e-10,0.12514966373170713,2.7133805300558645e-09,0.0911139483688666,1.97120292201601e-09,0.14041860508443116,-4.59283931182047
SR_Pu_UN_G1_C1_N_D700.0m_Lw_35000.0cm_Epw1.0cm_w_steel.o,C1,N,700.0,35000.0,1.0,steel,0,C1_H_0,4.52296e-11,0.0477,5.11014e-12,0.0189,4.33211924720149e-11,0.0475567270847028,4.825166610496574e-10,0.05519630740213465,3.365860836007253e-10,0.06450479974293576,-4.219377416526114
SR_Pu_UN_G1_C1_N_D1000.0m_Lw_50000.0cm_Epw1.0cm_w_steel.o,C1,N,1000.0,50000.0,1.0,steel,0,C1_H_0,4.40739e-12,0.0316,5.47435e-13,0.015,4.230981883475511e-12,0.03197141690514514,4.549988968798701e-11,0.037366694693573836,3.126075578204288e-11,0.04474556798352973,-4.002552906016693
SR_Pu_UN_G1_C1_N_D1200.0m_Lw_60000.0cm_Epw1.0cm_w_steel.o,C1,N,1200.0,60000.0,1.0,steel,0,C1_H_0,1.27548e-12,0.1223,1.34959e-13,0.0282,1.2153522420384195e-12,0.11923950459019889,1.3054698576119418e-11,0.103608040005105,9.466301673724325e-12,0.14203707304333046,-4.7141278547355085
SR_Pu_UN_G1_C1_N_D1.0m_Lw_50.0cm_Epw5.0cm_w_steel.o,C1,N,1.0,50.0,5.0,steel,0,C1_H_0,0.000145819,0.0078,5.51982e-06,0.0096,0.00013853116242951133,0.007480013055944771,0.0018195793030986972,0.008203404029015914,0.0014405354629774794,0.0076082384443572825,-4.9978655528351315
SR_Pu_UN_G1_C1_N_D2.0m_Lw_100.0cm_Epw5.0cm_w_steel.o,C1,N,2.0,100.0,5.0,steel,0,C1_H_0,4.11469e-05,0.0113,1.68581e-06,0.0131,3.909857479326154e-05,0.011171363883205639,0.0005124795597595581,0.011979670241050976,0.0004018180029446396,0.011475646821960539,-4.978079045416437
SR_Pu_UN_G1_C1_N_D5.0m_Lw_250.0cm_Epw5.0cm_w_steel.o,C1,N,5.0,250.0,5.0,steel,0,C1_H_0,6.95036e-06,0.0194,3.05226e-07,0.0236,6.599661160840397e-06,0.01913978496235819,8.658930204084797e-05,0.020952908056672104,6.703815444830566e-05,0.01984654560363891,-5.045765099356054
SR_Pu_UN_G1_C1_N_D10.0m_Lw_500.0cm_Epw5.0cm_w_steel.o,C1,N,10.0,500.0,5.0,steel,0,C1_H_0,1.7652e-06,0.0197,8.36794e-08,0.026,1.6762137918874977e-06,0.01955090954136677,2.212411723417497e-05,0.021325639228581165,1.6823339143528603e-05,0.020072440956911453,-5.041140273765145
SR_Pu_UN_G1_C1_N_D20.0m_Lw_1000.0cm_Epw5.0cm_w_steel.o,C1,N,20.0,1000.0,5.0,steel,0,C1_H_0,4.21309e-07,0.0096,2.21606e-08,0.0125,4.002559808547576e-07,0.009570600541445626,5.2128843895670256e-06,0.010012996211746093,3.939807031260733e-06,0.009981842682502387,-4.997049468499929
SR_Pu_UN_G1_C1_N_D50.0m_Lw_2500.0cm_Epw5.0cm_w_steel.o,C1,N,50.0,2500.0,5.0,steel,0,C1_H_0,6.92131e-08,0.0155,4.50606e-09,0.0138,6.57722589951514e-08,0.015458275673316804,8.468523599340185e-07,0.015575022175232702,6.185422873282013e-07,0.01714721402957505,-4.971372478401639
SR_Pu_UN_G1_C1_N_D100.0m_Lw_5000.0cm_Epw5.0cm_w_steel.o,C1,N,100.0,5000.0,5.0,steel,0,C1_H_0,1.71229e-08,0.0258,1.38355e-09,0.0193,1.6304176524597172e-08,0.025567379443861227,2.0473983354785122e-07,0.02705356129173592,1.4434631367793882e-07,0.03004855856667298,-4.781453348456318
SR_Pu_UN_G1_C1_N_D200.0m_Lw_10000.0cm_Epw5.0cm_w_steel.o,C1,N,200.0,10000.0,5.0,steel,0,C1_H_0,3.75727e-09,0.0463,3.42717e-10,0.0262,3.5809433478664866e-09,0.04607960691290703,4.3749378869042356e-08,0.05202343862411527,3.027489109013744e-08,0.056399548145508994,-4.6929459989171285
SR_Pu_UN_G1_C1_N_D300.0m_Lw_15000.0cm_Epw5.0cm_w_steel.o,C1,N,300.0,15000.0,5.0,steel,0,C1_H_0,1.09369e-09,0.0554,1.17681e-10,0.0285,1.044428398706909e-09,0.05492736573870568,1.2454034670084565e-08,0.07056272714909172,8.294543810823868e-09,0.07351227031679113,-4.5041649181295345
