file,D_m,rfis_cm,wall_thk_cm,config,particle,material,tally_14_value,tally_14_error,tally_24_value,tally_24_error,tally_34_value,tally_34_error,error,dose_14_calc,dose_14_calc_error,dose_24_calc,dose_24_calc_error,dose_34_calc,dose_34_calc_error,diff_14_pct,diff_24_pct,diff_34_pct
SR-U-UN-G1-C1-N_steel_5cm_D20m.i,20.0,25.5476,5.0,C1,N,steel,1.19246e-07,0.0306,1.46658e-06,0.0328,1.10084e-06,0.0295,,1.1918646639903197e-07,0.029902626728880354,1.4651470265986304e-06,0.032389054143702856,1.1001169347967208e-06,0.029208557483026868,-0.049925029743587465,-0.09770850559597785,-0.06568304233850475
SR-U-UN-G1-C1-N_steel_5cm_D50m.i,50.0,25.5476,5.0,C1,N,steel,1.88437e-08,0.0442,2.34626e-07,0.051,1.71179e-07,0.0488,,1.883966103466057e-08,0.0440465610245287,2.3456634909601977e-07,0.050875344000617544,1.7109127734816678e-07,0.04860283254147208,-0.021434035457095827,-0.02542382514309258,-0.05124615276010287
SR-U-UN-G1-C1-N_steel_5cm_D100m.i,100.0,25.5476,5.0,C1,N,steel,4.3693e-09,0.0253,5.20796e-08,0.0262,3.6788e-08,0.0292,,4.370076683137199e-09,0.025132440674405673,5.209527294052324e-08,0.026117891930949676,3.6792824542465285e-08,0.02914765314454835,0.017775916901994954,0.03009420295709313,0.013114446192471582
SR-U-UN-G1-C1-N_steel_5cm_D200m.i,200.0,25.5476,5.0,C1,N,steel,9.00494e-10,0.0244,1.05901e-08,0.0296,7.2786e-09,0.0276,,9.008276722251508e-10,0.024166277878804914,1.0595834291748087e-08,0.029804078251061714,7.281952709197148e-09,0.027676894170324668,0.03705435296080231,0.0541476638378054,0.04606255594686187
SR-U-UN-G1-C1-N_steel_5cm_D300m.i,300.0,25.5476,5.0,C1,N,steel,2.70607e-10,0.0221,3.05582e-09,0.0227,2.13338e-09,0.0282,,2.7061171095285295e-10,0.021573700073483606,3.0556945800241636e-09,0.022476733692888596,2.1332432700650266e-09,0.027962446666988498,0.0017408835887341254,-0.004104298546260732,-0.006409075503348676
SR-U-UN-G1-C1-N_steel_5cm_D500m.i,500.0,25.5476,5.0,C1,N,steel,3.97714e-11,0.0257,4.29148e-10,0.0225,2.86986e-10,0.028,,3.979037663184506e-11,0.021112778112678313,4.293464056305954e-10,0.021686514057020056,2.8713503018219753e-10,0.027625444879032943,0.04771426664653134,0.04623244908408954,0.05192942589448884
SR-U-UN-G1-C1-N_steel_5cm_D700m.i,700.0,25.5476,5.0,C1,N,steel,7.46804e-12,0.0171,8.01279e-11,0.0184,5.34519e-11,0.0234,,7.470004922144918e-12,0.016581372955786263,8.013791076850851e-11,0.018129322251815516,5.34564675566074e-11,0.02317662970337211,0.026311082223951582,0.012493486673820034,0.008545171654149013
SR-U-UN-G1-C1-N_steel_5cm_D1000m.i,1000.0,25.5476,5.0,C1,N,steel,7.75956e-13,0.0189,8.12755e-12,0.0204,5.48433e-12,0.0269,,7.760807427726373e-13,0.018408772446224016,8.128754226522115e-12,0.020183645606727495,5.484315717666421e-12,0.026681682332818046,0.016076011093071173,0.014816599370232993,-0.00026042075475220575
SR-U-UN-G1-C1-N_steel_5cm_D1200m.i,1200.0,25.5476,5.0,C1,N,steel,1.78815e-13,0.0144,1.8709e-12,0.0162,1.26322e-12,0.0203,,1.788561270139114e-13,0.014133636163697151,1.8712427793732183e-12,0.01600623990490561,1.263583065028345e-12,0.020041023885121627,0.02299975612302647,0.01832162986895265,0.02874123496660565
SR-U-UN-G1-C1-N_steel_10cm_D1m.i,1.0,25.5476,10.0,C1,N,steel,2.00236e-05,0.017,0.000270861,0.0181,0.00019782,0.0159,,2.0023903180631173e-05,0.015959441382463455,0.00027087206692247604,0.017277966132165135,0.00019783984996946862,0.015153882773000008,0.001514116498402561,0.004085830915500906,0.010034359250134253
SR-U-UN-G1-C1-N_steel_10cm_D2m.i,2.0,25.5476,10.0,C1,N,steel,6.73809e-06,0.0306,8.9449e-05,0.0269,6.42398e-05,0.0248,,6.744567266166941e-06,0.03036060139490016,8.951310917404595e-05,0.026531828057359562,6.428408019502543e-05,0.02447361126938511,0.09612911324931932,0.07167120263608057,0.06892953437812793
SR-U-UN-G1-C1-N_steel_10cm_D5m.i,5.0,25.5476,10.0,C1,N,steel,1.2412e-06,0.0334,1.68213e-05,0.0354,1.19458e-05,0.0337,,1.2416288867632909e-06,0.03314103162513498,1.682725804143162e-05,0.035168587932597875,1.1951316198043781e-05,0.03347837719429791,0.034554202649920776,0.03541962530612096,0.04617688261800229
SR-U-UN-G1-C1-N_steel_10cm_D10m.i,10.0,25.5476,10.0,C1,N,steel,3.0656e-07,0.0309,4.07313e-06,0.0311,2.89867e-06,0.0301,,3.0662649379377323e-07,0.030311942613000006,4.074340627400588e-06,0.03062904511999368,2.899422989097717e-06,0.029724054873121103,0.021690303292412547,0.029722287297187188,0.025977054915433912
SR-U-UN-G1-C1-N_steel_10cm_D20m.i,20.0,25.5476,10.0,C1,N,steel,8.01007e-08,0.0249,1.05938e-06,0.0239,7.34687e-07,0.0224,,8.011223884373247e-08,0.02262643625404226,1.0595923748652599e-06,0.023628246646780243,7.348393336166717e-07,0.022170751590731577,0.01440542184085213,0.020047090303746965,0.02073449192264913
SR-U-UN-G1-C1-N_steel_10cm_D50m.i,50.0,25.5476,10.0,C1,N,steel,1.28948e-08,0.027,1.64673e-07,0.0257,1.11838e-07,0.0271,,1.2897992616519933e-08,0.024440848545341905,1.6470914379815482e-07,0.025481508914075322,1.1186022591959666e-07,0.026858286158223627,0.02475894562097633,0.02194883080699862,0.019873316401103167
SR-U-UN-G1-C1-N_steel_10cm_D100m.i,100.0,25.5476,10.0,C1,N,steel,3.06847e-09,0.023,3.74687e-08,0.0247,2.4743e-08,0.0264,,3.069019227387438e-09,0.021203762972626404,3.747831646946444e-08,0.024514331979040266,2.4745037998104254e-08,0.02614651004390094,0.017899063293373485,0.025665340576104916,0.008236665336682632
SR-U-UN-G1-C1-N_steel_10cm_D200m.i,200.0,25.5476,10.0,C1,N,steel,6.0549e-10,0.0153,7.15475e-09,0.0164,4.71017e-09,0.0188,,6.05564649066167e-10,0.013992212239907768,7.1558716819721165e-09,0.016207992861686567,4.710646815796228e-09,0.0186288939743075,0.012328703391793984,0.01567744466426623,0.010123112249194545
SR-U-UN-G1-C1-N_steel_10cm_D300m.i,300.0,25.5476,10.0,C1,N,steel,1.85914e-10,0.0205,2.10973e-09,0.0162,1.36137e-09,0.0174,,1.8594821283858872e-10,0.013097496977819726,2.1099858885869213e-09,0.01515403977141819,1.3615085975892604e-09,0.01675514351005955,0.01840250792771181,0.012128973229816813,0.010180743608306897
SR-U-UN-G1-C1-N_steel_10cm_D500m.i,500.0,25.5476,10.0,C1,N,steel,2.61476e-11,0.0135,2.84275e-10,0.0158,1.80711e-10,0.0181,,2.615798946640887e-11,0.012430706812122157,2.8435979541782977e-10,0.015602846443549912,1.8076699153988152e-10,0.01786663044231559,0.039733919781819664,0.029828658105631792,0.03098402414989599
SR-U-UN-G1-C1-N_steel_10cm_D700m.i,700.0,25.5476,10.0,C1,N,steel,4.91872e-12,0.0201,5.02824e-11,0.0162,3.2354e-11,0.0199,,4.920024109955271e-12,0.013192801416296958,5.02930998414767e-11,0.01508390232160759,3.2360864931940006e-11,0.019282332876310267,0.026513197646348748,0.021279496357961607,0.021218186128476296
SR-U-UN-G1-C1-N_steel_10cm_D1000m.i,1000.0,25.5476,10.0,C1,N,steel,4.54068e-13,0.0131,4.57008e-12,0.0144,2.95941e-12,0.0192,,4.541680461187923e-13,0.012762155942973894,4.570105381911442e-12,0.014237890041751368,2.9593963113778984e-12,0.018977107349392373,0.022033289902014246,0.0005553931537626679,-0.000462545645970797
SR-U-UN-G1-C1-N_steel_10cm_D1200m.i,1200.0,25.5476,10.0,C1,N,steel,1.02682e-13,0.0142,1.01623e-12,0.0159,6.65146e-13,0.0217,,1.0272092210192198e-13,0.013859082711989866,1.0164547710857225e-12,0.01570981704727149,6.65326522706901e-13,0.021515318495045694,0.0379054770280819,0.022118131301228697,0.02714031308931556
SR-U-UN-G1-C1-N_steel_20cm_D1m.i,1.0,25.5476,20.0,C1,N,steel,1.11584e-05,0.0142,0.000163991,0.014,0.000104107,0.0139,,1.1160309947774706e-05,0.01246774204660442,0.00016404736770984343,0.012288696933743012,0.00010413820648432664,0.012406075941522937,0.01711668137641772,0.03437244107508153,0.029975394859749732
SR-U-UN-G1-C1-N_steel_20cm_D2m.i,2.0,25.5476,20.0,C1,N,steel,3.64816e-06,0.0238,5.33721e-05,0.0242,3.39715e-05,0.0256,,3.6489258105167927e-06,0.022814703231677613,5.33863577519794e-05,0.023153737815393968,3.398270522330403e-05,0.024691927890728375,0.02099169216243057,0.026713867319075827,0.032984187639734194
SR-U-UN-G1-C1-N_steel_20cm_D5m.i,5.0,25.5476,20.0,C1,N,steel,6.23797e-07,0.0261,8.97464e-06,0.0264,5.61132e-06,0.026,,6.240925023250763e-07,0.025602091954194137,8.980568793983585e-06,0.026016538978859218,5.614531403230751e-06,0.025698942578372165,0.04737155277699759,0.06606163571558064,0.057230798292584685
